salinity,sediment,root,f,jar_no,jar_notnum,plant_no,root_weight
A,Disrupted,Intact,S-R+,13,Jar13,b,0.3807
A,Disrupted,Intact,S-R+,17,Jar17,a,0.339
A,Disrupted,Intact,S-R+,17,Jar17,b,0.3347
A,Disrupted,Intact,S-R+,16,Jar16,a,0.3262
A,Disrupted,Intact,S-R+,14,Jar14,a,0.279
A,Disrupted,Intact,S-R+,17,Jar17,c,0.2572
A,Disrupted,Intact,S-R+,13,Jar13,c,0.2198
A,Disrupted,Intact,S-R+,13,Jar13,a,0.2162
A,Disrupted,Intact,S-R+,16,Jar16,c,0.2122
A,Disrupted,Intact,S-R+,15,Jar15,a,0.1804
A,Disrupted,Intact,S-R+,18,Jar18,a,0.1431
A,Disrupted,Intact,S-R+,14,Jar14,c,0.1296
A,Disrupted,Intact,S-R+,15,Jar15,b,0.1279
A,Disrupted,Intact,S-R+,14,Jar14,b,0.09372
A,Disrupted,Intact,S-R+,18,Jar18,b,0.0806
A,Disrupted,Intact,S-R+,18,Jar18,c,0.055
A,Disrupted,Intact,S-R+,16,Jar16,b,0.0483
A,Disrupted,Intact,S-R+,15,Jar15,c,0.0089
A,Intact,Intact,S+R+,1,Jar1,a,0.3172
A,Intact,Intact,S+R+,1,Jar1,c,0.3114
A,Intact,Intact,S+R+,5,Jar5,c,0.2331
A,Intact,Intact,S+R+,2,Jar2,a,0.2282
A,Intact,Intact,S+R+,3,Jar3,a,0.2117
A,Intact,Intact,S+R+,3,Jar3,b,0.2007
A,Intact,Intact,S+R+,5,Jar5,a,0.1996
A,Intact,Intact,S+R+,6,Jar6,c,0.131
A,Intact,Intact,S+R+,2,Jar2,c,0.1142
A,Intact,Intact,S+R+,1,Jar1,b,0.1117
A,Intact,Intact,S+R+,4,Jar4,c,0.1004
A,Intact,Intact,S+R+,4,Jar4,a,0.0804
A,Intact,Intact,S+R+,6,Jar6,a,0.0757
A,Intact,Intact,S+R+,5,Jar5,b,0.0723
A,Intact,Intact,S+R+,6,Jar6,b,0.0661
A,Intact,Intact,S+R+,2,Jar2,b,0.0628
A,Intact,Intact,S+R+,3,Jar3,c,0.0628
A,Intact,Intact,S+R+,4,Jar4,b,0.0432
A,Disrupted,Disrupted,S-R-,22,Jar22,c,0.3652
A,Disrupted,Disrupted,S-R-,23,Jar23,c,0.3395
A,Disrupted,Disrupted,S-R-,23,Jar23,b,0.3214
A,Disrupted,Disrupted,S-R-,24,Jar24,c,0.3209
A,Disrupted,Disrupted,S-R-,21,Jar21,a,0.2954
A,Disrupted,Disrupted,S-R-,20,Jar20,b,0.263
A,Disrupted,Disrupted,S-R-,20,Jar20,c,0.2355
A,Disrupted,Disrupted,S-R-,23,Jar23,a,0.2215
A,Disrupted,Disrupted,S-R-,24,Jar24,b,0.2042
A,Disrupted,Disrupted,S-R-,24,Jar24,a,0.1934
A,Disrupted,Disrupted,S-R-,21,Jar21,b,0.1431
A,Disrupted,Disrupted,S-R-,19,Jar19,c,0.1419
A,Disrupted,Disrupted,S-R-,20,Jar20,a,0.1343
A,Disrupted,Disrupted,S-R-,22,Jar22,a,0.1232
A,Disrupted,Disrupted,S-R-,19,Jar19,b,0.1095
A,Disrupted,Disrupted,S-R-,21,Jar21,c,0.0997
A,Disrupted,Disrupted,S-R-,19,Jar19,a,0.0264
A,Disrupted,Disrupted,S-R-,22,Jar22,b,0.0218
A,Intact,Disrupted,S+R-,7,Jar7,a,0.4381
A,Intact,Disrupted,S+R-,8,Jar8,c,0.3256
A,Intact,Disrupted,S+R-,8,Jar8,a,0.2918
A,Intact,Disrupted,S+R-,7,Jar7,c,0.2768
A,Intact,Disrupted,S+R-,7,Jar7,b,0.2196
A,Intact,Disrupted,S+R-,9,Jar9,c,0.2083
A,Intact,Disrupted,S+R-,9,Jar9,b,0.201
A,Intact,Disrupted,S+R-,10,Jar10,b,0.1866
A,Intact,Disrupted,S+R-,12,Jar12,b,0.1792
A,Intact,Disrupted,S+R-,11,Jar11,a,0.1662
A,Intact,Disrupted,S+R-,12,Jar12,a,0.1652
A,Intact,Disrupted,S+R-,10,Jar10,a,0.1485
A,Intact,Disrupted,S+R-,11,Jar11,b,0.1471
A,Intact,Disrupted,S+R-,12,Jar12,c,0.1294
A,Intact,Disrupted,S+R-,11,Jar11,c,0.1281
A,Intact,Disrupted,S+R-,8,Jar8,b,0.0922
A,Intact,Disrupted,S+R-,9,Jar9,a,0.0671
A,Intact,Disrupted,S+R-,10,Jar10,c,0.0659
M,Disrupted,Intact,S-R+,51,Jar51,c,0.3831
M,Disrupted,Intact,S-R+,53,Jar53,b,0.5266
M,Disrupted,Intact,S-R+,56,Jar56,c,0.4126
M,Disrupted,Intact,S-R+,51,Jar51,a,0.3673
M,Disrupted,Intact,S-R+,52,Jar52,c,0.3581
M,Disrupted,Intact,S-R+,53,Jar53,a,0.3282
M,Disrupted,Intact,S-R+,51,Jar51,b,0.2462
M,Disrupted,Intact,S-R+,55,Jar55,c,0.2441
M,Disrupted,Intact,S-R+,52,Jar52,a,0.2397
M,Disrupted,Intact,S-R+,55,Jar55,b,0.2335
M,Disrupted,Intact,S-R+,52,Jar52,b,0.1742
M,Disrupted,Intact,S-R+,56,Jar56,a,0.1735
M,Disrupted,Intact,S-R+,54,Jar54,a,0.1286
M,Disrupted,Intact,S-R+,53,Jar53,c,0.0903
M,Disrupted,Intact,S-R+,56,Jar56,b,0.0834
M,Disrupted,Intact,S-R+,54,Jar54,b,0.064
M,Disrupted,Intact,S-R+,55,Jar55,a,0.0302
M,Intact,Intact,S+R+,42,Jar42,c,0.7391
M,Intact,Intact,S+R+,43,Jar43,b,0.3011
M,Intact,Intact,S+R+,43,Jar43,c,0.1984
M,Intact,Intact,S+R+,42,Jar42,a,0.1846
M,Intact,Intact,S+R+,39,Jar39,b,0.175
M,Intact,Intact,S+R+,42,Jar42,b,0.1698
M,Intact,Intact,S+R+,41,Jar41,c,0.1634
M,Intact,Intact,S+R+,41,Jar41,a,0.1177
M,Intact,Intact,S+R+,39,Jar39,a,0.1016
M,Intact,Intact,S+R+,41,Jar41,b,0.0846
M,Intact,Intact,S+R+,40,Jar40,a,0.0735
M,Intact,Intact,S+R+,43,Jar43,a,0.0704
M,Intact,Intact,S+R+,40,Jar40,b,0.0612
M,Intact,Intact,S+R+,44,Jar44,b,0.0508
M,Intact,Intact,S+R+,40,Jar40,c,0.0485
M,Intact,Intact,S+R+,39,Jar39,c,0.0449
M,Intact,Intact,S+R+,44,Jar44,a,0.0212
M,Disrupted,Disrupted,S-R-,58,Jar58,a,0.4758
M,Disrupted,Disrupted,S-R-,60,Jar60,c,0.4697
M,Disrupted,Disrupted,S-R-,58,Jar58,c,0.4578
M,Disrupted,Disrupted,S-R-,61,Jar61,c,0.3439
M,Disrupted,Disrupted,S-R-,61,Jar61,a,0.3259
M,Disrupted,Disrupted,S-R-,60,Jar60,b,0.307
M,Disrupted,Disrupted,S-R-,58,Jar58,b,0.268
M,Disrupted,Disrupted,S-R-,59,Jar59,c,0.2076
M,Disrupted,Disrupted,S-R-,59,Jar59,a,0.1884
M,Disrupted,Disrupted,S-R-,57,Jar57,a,0.1501
M,Disrupted,Disrupted,S-R-,59,Jar59,b,0.1444
M,Disrupted,Disrupted,S-R-,57,Jar57,c,0.1402
M,Disrupted,Disrupted,S-R-,62,Jar62,c,0.1297
M,Disrupted,Disrupted,S-R-,57,Jar57,b,0.1281
M,Disrupted,Disrupted,S-R-,62,Jar62,a,0.1077
M,Disrupted,Disrupted,S-R-,61,Jar61,b,0.0985
M,Disrupted,Disrupted,S-R-,62,Jar62,b,0.0894
M,Disrupted,Disrupted,S-R-,60,Jar60,a,0.0511
M,Intact,Disrupted,S+R-,46,Jar46,c,0.3274
M,Intact,Disrupted,S+R-,48,Jar48,a,0.32339
M,Intact,Disrupted,S+R-,47,Jar47,b,0.2711
M,Intact,Disrupted,S+R-,49,Jar49,c,0.2607
M,Intact,Disrupted,S+R-,48,Jar48,c,0.209
M,Intact,Disrupted,S+R-,45,Jar45,b,0.1822
M,Intact,Disrupted,S+R-,50,Jar50,b,0.1557
M,Intact,Disrupted,S+R-,50,Jar50,a,0.1376
M,Intact,Disrupted,S+R-,49,Jar49,b,0.1344
M,Intact,Disrupted,S+R-,47,Jar47,c,0.1281
M,Intact,Disrupted,S+R-,49,Jar49,a,0.1279
M,Intact,Disrupted,S+R-,48,Jar48,b,0.124
M,Intact,Disrupted,S+R-,50,Jar50,c,0.1147
M,Intact,Disrupted,S+R-,46,Jar46,b,0.1024
M,Intact,Disrupted,S+R-,46,Jar46,a,0.0977
M,Intact,Disrupted,S+R-,45,Jar45,c,0.0916
M,Intact,Disrupted,S+R-,45,Jar45,a,0.0643
M,Intact,Disrupted,S+R-,47,Jar47,a,0.0605
Z,Disrupted,Intact,S-R+,93,Jar93,a,0.3847
Z,Disrupted,Intact,S-R+,90,Jar90,a,0.2601
Z,Disrupted,Intact,S-R+,90,Jar90,c,0.2514
Z,Disrupted,Intact,S-R+,92,Jar92,c,0.2167
Z,Disrupted,Intact,S-R+,91,Jar91,a,0.2095
Z,Disrupted,Intact,S-R+,91,Jar91,b,0.1771
Z,Disrupted,Intact,S-R+,92,Jar92,a,0.1535
Z,Disrupted,Intact,S-R+,93,Jar93,c,0.1241
Z,Disrupted,Intact,S-R+,90,Jar90,b,0.1184
Z,Disrupted,Intact,S-R+,89,Jar89,c,0.1077
Z,Disrupted,Intact,S-R+,94,Jar94,c,0.0957
Z,Disrupted,Intact,S-R+,93,Jar93,b,0.0937
Z,Disrupted,Intact,S-R+,94,Jar94,a,0.0843
Z,Disrupted,Intact,S-R+,95,Jar95,a,0.0812
Z,Disrupted,Intact,S-R+,89,Jar89,b,0.0773
Z,Disrupted,Intact,S-R+,91,Jar91,c,0.0627
Z,Disrupted,Intact,S-R+,94,Jar94,b,0.0393
Z,Disrupted,Intact,S-R+,92,Jar92,b,0.0328
Z,Intact,Intact,S+R+,77,Jar77,c,0.2867
Z,Intact,Intact,S+R+,81,Jar81,b,0.286
Z,Intact,Intact,S+R+,79,Jar79,b,0.2436
Z,Intact,Intact,S+R+,80,Jar80,b,0.2123
Z,Intact,Intact,S+R+,77,Jar77,a,0.1584
Z,Intact,Intact,S+R+,82,Jar82,a,0.1563
Z,Intact,Intact,S+R+,77,Jar77,b,0.1262
Z,Intact,Intact,S+R+,79,Jar79,c,0.117
Z,Intact,Intact,S+R+,80,Jar80,a,0.1135
Z,Intact,Intact,S+R+,78,Jar78,c,0.1064
Z,Intact,Intact,S+R+,78,Jar78,a,0.0929
