salinity,sediment,root,f,jar_no,jar_notnum,plant_no,shoot_length,width,root_length,necrosis,leaves,new_shoots,shoot_weight,root_weight
A,Disrupted,Intact,S-R+,13,Jar13,b,13.2,3,6.8,0,3,0,0.0487,0.3807
A,Disrupted,Intact,S-R+,17,Jar17,a,12.2,4,5.6,5,3,0,0.0591,0.339
A,Disrupted,Intact,S-R+,17,Jar17,b,11.3,3,6.3,0,4,0,0.0526,0.3347
A,Disrupted,Intact,S-R+,16,Jar16,a,12.4,4,6,25,2,0,0.0507,0.3262
A,Disrupted,Intact,S-R+,14,Jar14,a,9.3,3,5.2,90,2,0,0.0182,0.279
A,Disrupted,Intact,S-R+,17,Jar17,c,12.4,3,5.6,5,4,0,0.0627,0.2572
A,Disrupted,Intact,S-R+,13,Jar13,c,10.3,3,7.4,0,2,0,0.0223,0.2198
A,Disrupted,Intact,S-R+,13,Jar13,a,13.3,3,5.7,0,3,0,0.0505,0.2162
A,Disrupted,Intact,S-R+,16,Jar16,c,14.5,3,6.1,5,2,0,0.0302,0.2122
A,Disrupted,Intact,S-R+,15,Jar15,a,12.1,3,5.1,5,2,0,0.0298,0.1804
A,Disrupted,Intact,S-R+,18,Jar18,a,12.9,3,5.7,25,3,0,0.0352,0.1431
A,Disrupted,Intact,S-R+,14,Jar14,c,12.1,4,7,5,4,1,0.0553,0.1296
A,Disrupted,Intact,S-R+,15,Jar15,b,10.3,2,4.7,0,2,0,0.0223,0.1279
A,Disrupted,Intact,S-R+,14,Jar14,b,9.1,3,5.7,50,2,0,0.0195,0.09372
A,Disrupted,Intact,S-R+,18,Jar18,b,13.1,2,5.6,5,2,0,0.0317,0.0806
A,Disrupted,Intact,S-R+,18,Jar18,c,10,3,5.8,25,3,0,0.0257,0.055
A,Disrupted,Intact,S-R+,16,Jar16,b,12.7,2,9.5,5,2,0,0.0217,0.0483
A,Disrupted,Intact,S-R+,15,Jar15,c,8.5,2,3.3,5,3,0,0.0245,0.0089
A,Intact,Intact,S+R+,1,Jar1,a,10.5,3,5,0,2,0,0.0192,0.3172
A,Intact,Intact,S+R+,1,Jar1,c,10.8,3,3.1,5,3,0,0.0442,0.3114
A,Intact,Intact,S+R+,5,Jar5,c,9.5,3,8.3,75,3,0,0.0623,0.2331
A,Intact,Intact,S+R+,2,Jar2,a,11.5,3,7.3,50,2,0,0.0422,0.2282
A,Intact,Intact,S+R+,3,Jar3,a,7.8,3,8.1,0,2,0,0.0191,0.2117
A,Intact,Intact,S+R+,3,Jar3,b,10.6,3,9.1,0,3,0,0.0529,0.2007
A,Intact,Intact,S+R+,5,Jar5,a,12.2,3,6.1,5,2,0,0.0284,0.1996
A,Intact,Intact,S+R+,6,Jar6,c,14.7,3,5,0,2,0,0.0545,0.131
A,Intact,Intact,S+R+,2,Jar2,c,10.1,3,6.5,25,2,1,0.0187,0.1142
A,Intact,Intact,S+R+,1,Jar1,b,9.6,2,3.3,0,2,0,0.021,0.1117
A,Intact,Intact,S+R+,4,Jar4,c,9.1,3,8.9,0,2,0,0.0233,0.1004
A,Intact,Intact,S+R+,4,Jar4,a,13.3,3,4.7,0,2,0,0.0293,0.0804
A,Intact,Intact,S+R+,6,Jar6,a,8.9,4,3.5,5,2,0,0.0181,0.0757
A,Intact,Intact,S+R+,5,Jar5,b,12.7,2,6.1,50,3,1,0.0246,0.0723
A,Intact,Intact,S+R+,6,Jar6,b,12.4,3,3.6,0,3,0,0.0504,0.0661
A,Intact,Intact,S+R+,2,Jar2,b,8.4,2,6.5,50,3,0,0.0197,0.0628
A,Intact,Intact,S+R+,3,Jar3,c,8,3,5.7,5,1,0,0.0121,0.0628
A,Intact,Intact,S+R+,4,Jar4,b,12.5,3,5.2,0,2,0,0.0316,0.0432
A,Disrupted,Disrupted,S-R-,22,Jar22,c,11.7,4,5.1,5,5,1,0.0763,0.3652
A,Disrupted,Disrupted,S-R-,23,Jar23,c,13.1,3,8.6,0,4,0,0.0664,0.3395
A,Disrupted,Disrupted,S-R-,23,Jar23,b,11.2,2,5.9,5,3,0,0.0591,0.3214
A,Disrupted,Disrupted,S-R-,24,Jar24,c,8.7,4,7.2,5,3,0,0.0416,0.3209
A,Disrupted,Disrupted,S-R-,21,Jar21,a,13.1,4,6.8,75,2,0,0.0621,0.2954
A,Disrupted,Disrupted,S-R-,20,Jar20,b,10.9,3,4.4,0,3,0,0.0517,0.263
A,Disrupted,Disrupted,S-R-,20,Jar20,c,14.9,4,4.5,0,3,0,0.1134,0.2355
A,Disrupted,Disrupted,S-R-,23,Jar23,a,11,4,6.1,25,4,0,0.0548,0.2215
A,Disrupted,Disrupted,S-R-,24,Jar24,b,9.1,3,5.7,0,3,0,0.0268,0.2042
A,Disrupted,Disrupted,S-R-,24,Jar24,a,14.7,4,7.2,5,4,0,0.0759,0.1934
A,Disrupted,Disrupted,S-R-,21,Jar21,b,9.3,3,5.8,75,3,1,0.0588,0.1431
A,Disrupted,Disrupted,S-R-,19,Jar19,c,12.4,3,3.6,0,2,0,0.0194,0.1419
A,Disrupted,Disrupted,S-R-,20,Jar20,a,15.6,3,3.8,0,2,0,0.0394,0.1343
A,Disrupted,Disrupted,S-R-,22,Jar22,a,9.9,2,3.8,5,1,0,0.0066,0.1232
A,Disrupted,Disrupted,S-R-,19,Jar19,b,9.9,2,5,0,3,0,0.0304,0.1095
A,Disrupted,Disrupted,S-R-,21,Jar21,c,13.2,3,6.9,75,2,1,0.0178,0.0997
A,Disrupted,Disrupted,S-R-,19,Jar19,a,14.5,2,3.6,5,4,0,0.1007,0.0264
